SourceForm,AddressMode,ObjectCode
ABA,INH,1806
ABX,IDX,1AE5
ABY,IDX,19ED
ADCA,IMM,89ii
ADCA,DIR,99dd
ADCA,EXT,B9hhll
ADCB,IMM,C9ii
ADCB,DIR,D9dd
ADCB,EXT,F9hhll
ADDA,IMM,8Bii
ADDA,DIR,9Bdd
ADDA,EXT,BBhhll
ADDB,IMM,CBii
ADDB,DIR,DBdd
ADDB,EXT,FBhhll
ADDD,IMM,C3jjkk
ADDD,DIR,D3dd
ADDD,EXT,F3hhll
ANDA,IMM,84ii
ANDA,DIR,94dd
ANDA,EXT,B4hhll
ANDB,IMM,C4ii
ANDB,DIR,D4ii
ANDB,EXT,F4hhll
ANDCC,IMM,10ii
ASL,EXT,78hhll
ASLA,INH,48
ASLB,INH,58
ASLD,INH,59
ASR,EXT,77hhll
ASRA,INH,47
ASRB,INH,57
BCC,REL,24rr
BCLR,DIR,4Dddmm
BCLR,EXT,1Dhhllmm
BEQ,REL,27rr
BNE,REL,26rr
LBEQ,REL,1827qqrr
LBNE,REL,1826qqrr